ID,Name,Picture,Info,Overlay,BuyPrice,SalePrice
5001,树莓,Crop_B_256_003,果实鲜红亮丽，光润诱人，味甜酸适口,10,500,200
5002,桃子,Crop_B_256_006,摸上去都是绒毛，果肉多汁,10,600,300
5003,橘子,Crop_B_256_007,多汁，开胃，饱含夏日的芬芳,10,600,300
5004,樱桃,Crop_B_256_008,鲜红欲滴的果实，看起来就很可口,10,700,400
5005,蓝莓,Crop_B_256_009,一种营养丰富的浆果,10,800,400
5006,梨,Crop_B_256_010,味美汁多，甜中带酸，而且营养丰富,10,600,300
5007,苹果,Crop_B_256_013,一种香脆的水果，味道香甜,10,500,200
5008,茄子,Crop_B_256_020,一种紫色的蔬菜,10,600,300
5009,芒果,Crop_B_256_023,一种常见的热带水果,10,700,400
5010,葡萄,Crop_B_256_044,果实可以制作葡萄干，或者酿酒,10,800,400
5011,荔枝,Crop_B_256_048,果肉为半透明凝脂状，味香美,10,800,400
5012,柠檬,Crop_B_256_055,有一种淡淡的清香，味道较酸,10,900,500
5013,石榴,Crop_B_256_058,果实为一簇多汁的种子,10,1000,600
5014,笋尖,Crop_B_256_063,笋的尖嫩部分,10,1100,700
5015,核桃,Crop_B_256_072,富含丰富的蛋白质和脂肪,10,1200,800
5016,可可豆,Crop_B_256_116,特殊加工后可制成巧克力,10,1000,600