ID,Name,Model,Professional,HouseName,Tradable,WorkHours,Speack
1,乔治,George,人才招募负责人,BuildingAT10,否,9：00-17：00,
2,卡萨,Kassa,铁匠,BuildingAT23,否,9：00-16：00,
3,露露,Lulu,水果店老板,BuildingAT39,否,9：00-17：00,
4,尼克,Nick,鱼店老板,BuildingAT04,否,9：00-17：00,
5,罗宾,Robin,牧场老板,BuildingAT45,否,9：00-17：00,
6,班尼,Banney,杂货铺老板,BuildingAT09,否,9：00-17：00,
7,埃里克,Eric,小镇居民,BuildingAT28,否,8：00-18：00,
8,妮可,Nicole,小镇居民,BuildingAT08,否,9：00-20：00,
9,库克,Cook,小镇居民,BuildingAT40,否,8：00-19：00,
10,苏鲁,Suru,小镇居民,BuildingAT19,否,9：00-20：00,
11,玲玲,Lingling,小镇居民,BuildingAT19,否,7：00-15：00,
12,艾玛,Emma,小镇居民,BuildingAT18,否,10：00-21：00,
13,杰西,Jiessie,猎人,BuildingAT10,是,6：00-12：00,
14,兰迪,Randy,猎人,BuildingAT10,是,10：00-16：00,
15,贝克,Beck,猎人,BuildingAT10,是,14：00-18：00,
16,凯利,Kelly,猎人,BuildingAT10,是,17：00-20：00,
17,莎拉,Sarah,猎人,BuildingAT10,是,19：00-1：00,
18,安德鲁,Andrew,猎人,BuildingAT10,是,0：00-7：00,
19,乔伊斯,Joyce,农夫,BuildingAT10,是,5：00-10：00,
20,罗杰,Roger,农夫,BuildingAT10,是,9：00-13：00,
21,亚纶,Aaron,农夫,BuildingAT10,是,11：00-18：00,
22,安娜,Anna,农夫,BuildingAT10,是,13：00-19：00,
23,艾米,Amy,农夫,BuildingAT10,是,16：00-0：00,
24,丹尼特,Dennett,农夫,BuildingAT10,是,20：00-3：00,
25,亚历克斯,Alex,农夫,BuildingAT10,是,1：00-6：00,